model,extended,visibility,num_recent_0,num_recent_1,num_recent_2,num_recent_3,num_recent_4,num_recent_5,num_recent_6,num_recent_7,num_recent_8,num_recent_9,num_recent_10,num_recent_11,num_recent_12
ResNet50,False,public,0.00560,0.00437,0.00364,0.00314,0.00290,0.00266,0.00252,0.00235,0.00221,0.00203,0.00189,0.00182,0.00171
ResNet50V2,False,public,0.00560,0.00417,0.00346,0.00297,0.00212,0.00247,0.00231,0.00213,0.00201,0.00182,0.00168,0.00161,0.00150
ResNet101,False,public,0.00560,0.00451,0.00390,0.00347,0.00327,0.00303,0.00291,0.00275,0.00263,0.00245,0.00232,0.00225,0.00216
ResNet101V2,False,public,0.00560,0.00411,0.00331,0.00286,0.00259,0.00234,0.00219,0.00201,0.00189,0.00171,0.00157,0.00150,0.00139
ResNet152,False,public,0.00560,0.00453,0.00387,0.00337,0.00312,0.00288,0.00277,0.00261,0.00249,0.00231,0.00217,0.00211,0.00201
ResNet152V2,False,public,0.00560,0.00398,0.00323,0.00271,0.00244,0.00218,0.00203,0.00187,0.00173,0.00156,0.00142,0.00136,0.00125
InceptionV3,False,public,0.00560,0.00443,0.00379,0.00336,0.00311,0.00284,0.00271,0.00254,0.00241,0.00224,0.00211,0.00205,0.00194
InceptionResNetV2,False,public,0.00560,0.00462,0.00404,0.00347,0.00323,0.00298,0.00284,0.00267,0.00254,0.00236,0.00222,0.00216,0.00205
VGG16,False,public,0.00560,0.00471,0.00366,0.00363,0.00339,0.00316,0.00302,0.00286,0.00273,0.00256,0.00243,0.00236,0.00227
VGG19,False,public,0.00560,0.00436,0.00373,0.00322,0.00300,0.00276,0.00260,0.00244,0.00232,0.00215,0.00202,0.00195,0.00185
Xception,False,public,0.00560,0.00443,0.00466,0.00322,0.00300,0.00275,0.00259,0.00241,0.00229,0.00211,0.00197,0.00191,0.00181
ResNet50,True,public,0.00560,0.00439,0.00367,0.00275,0.00299,0.00275,0.00261,0.00244,0.00230,0.00212,0.00198,0.00191,0.00180
ResNet50V2,True,public,0.00560,0.00400,0.00329,0.00225,0.00252,0.00225,0.00210,0.00192,0.00180,0.00162,0.00147,0.00140,0.00129
ResNet101,True,public,0.00560,0.00446,0.00386,0.00295,0.00319,0.00295,0.00283,0.00267,0.00254,0.00237,0.00223,0.00218,0.00207
ResNet101V2,True,public,0.00560,0.00409,0.00329,0.00229,0.00254,0.00229,0.00213,0.00196,0.00183,0.00165,0.00152,0.00145,0.00134
ResNet152,True,public,0.00560,0.00457,0.00390,0.00342,0.00316,0.00292,0.00280,0.00264,0.00252,0.00234,0.00220,0.00214,0.00204
ResNet152V2,True,public,0.00560,0.00400,0.00325,0.00274,0.00247,0.00221,0.00205,0.00189,0.00175,0.00158,0.00144,0.00138,0.00126
InceptionV3,True,public,0.00560,0.00434,0.00371,0.00325,0.00299,0.00274,0.00260,0.00244,0.00232,0.00214,0.00201,0.00195,0.00184
InceptionResNetV2,True,public,0.00560,0.00456,0.00393,0.00350,0.00328,0.00304,0.00291,0.00275,0.00262,0.00245,0.00230,0.00223,0.00213
VGG16,True,public,0.00560,0.00453,0.00387,0.00347,0.00322,0.00299,0.00285,0.00269,0.00256,0.00239,0.00225,0.00219,0.00208
VGG19,True,public,0.00560,0.00417,0.00348,0.00300,0.00281,0.00257,0.00241,0.00225,0.00214,0.00197,0.00183,0.00177,0.00166
Xception,True,public,0.00560,0.00466,0.00417,0.00374,0.00356,0.00333,0.00320,0.00304,0.00292,0.00275,0.00262,0.00256,0.00246
ResNet50,False,private,0.00578,0.00445,0.00372,0.00321,0.00294,0.00267,0.00251,0.00234,0.00221,0.00205,0.00194,0.00187,0.00176
ResNet50V2,False,private,0.00578,0.00434,0.00358,0.00307,0.00279,0.00251,0.00234,0.00217,0.00205,0.00187,0.00176,0.00169,0.00157
ResNet101,False,private,0.00578,0.00466,0.00398,0.00351,0.00325,0.00299,0.00285,0.00269,0.00257,0.00240,0.00230,0.00223,0.00212
ResNet101V2,False,private,0.00578,0.00430,0.00353,0.00299,0.00271,0.00243,0.00225,0.00210,0.00196,0.00178,0.00167,0.00160,0.00148
ResNet152,False,private,0.00578,0.00479,0.00413,0.00367,0.00342,0.00315,0.00300,0.00285,0.00272,0.00255,0.00244,0.00238,0.00225
ResNet152V2,False,private,0.00578,0.00443,0.00369,0.00316,0.00289,0.00261,0.00244,0.00227,0.00214,0.00197,0.00186,0.00179,0.00167
InceptionV3,False,private,0.00578,0.00446,0.00377,0.00327,0.00301,0.00274,0.00257,0.00240,0.00228,0.00211,0.00200,0.00194,0.00182
InceptionResNetV2,False,private,0.00578,0.00449,0.00382,0.00332,0.00306,0.00279,0.00264,0.00248,0.00234,0.00218,0.00207,0.00201,0.00189
VGG16,False,private,0.00578,0.00468,0.00404,0.00357,0.00332,0.00306,0.00292,0.00276,0.00263,0.00247,0.00236,0.00230,0.00218
VGG19,False,private,0.00578,0.00464,0.00394,0.00345,0.00319,0.00292,0.00278,0.00262,0.00249,0.00232,0.00221,0.00214,0.00203
Xception,False,private,0.00578,0.00443,0.00372,0.00321,0.00295,0.00267,0.00252,0.00236,0.00223,0.00206,0.00195,0.00189,0.00177
ResNet50,True,private,0.00578,0.00445,0.00373,0.00268,0.00295,0.00268,0.00252,0.00236,0.00223,0.00206,0.00196,0.00189,0.00178
ResNet50V2,True,private,0.00578,0.00425,0.00346,0.00236,0.00264,0.00236,0.00219,0.00203,0.00189,0.00172,0.00161,0.00154,0.00142
ResNet101,True,private,0.00578,0.00462,0.00394,0.00293,0.00319,0.00293,0.00279,0.00264,0.00251,0.00235,0.00223,0.00217,0.00206
ResNet101V2,True,private,0.00578,0.00423,0.00344,0.00233,0.00261,0.00233,0.00216,0.00199,0.00185,0.00168,0.00157,0.00150,0.00138
ResNet152,True,private,0.00578,0.00470,0.00404,0.00358,0.00333,0.00306,0.00279,0.00276,0.00263,0.00246,0.00235,0.00229,0.00218
ResNet152V2,True,private,0.00578,0.00428,0.00351,0.00298,0.00270,0.00240,0.00216,0.00207,0.00195,0.00178,0.00166,0.00160,0.00148
InceptionV3,True,private,0.00578,0.00447,0.00381,0.00332,0.00305,0.00278,0.00291,0.00245,0.00233,0.00217,0.00206,0.00199,0.00187
InceptionResNetV2,True,private,0.00578,0.00447,0.00382,0.00331,0.00306,0.00280,0.00264,0.00248,0.00235,0.00220,0.00208,0.00203,0.00191
VGG16,True,private,0.00578,0.00464,0.00400,0.00352,0.00326,0.00301,0.00262,0.00271,0.00257,0.00240,0.00231,0.00223,0.00213
VGG19,True,private,0.00578,0.00459,0.00390,0.00340,0.00314,0.00287,0.00264,0.00256,0.00243,0.00225,0.00215,0.00208,0.00197
Xception,True,private,0.00578,0.00470,0.00412,0.00366,0.00345,0.00318,0.00286,0.00290,0.00277,0.00261,0.00251,0.00245,0.00234
