model,extended,visibility,sim_level_1,sim_level_2,sim_level_3,sim_level_4,sim_level_5,sim_level_6,sim_level_7,sim_level_8,sim_level_9,sim_level_10
ResNet50,False,public,0.00165,0.00130,0.00100,0.00109,0.00110,0.00115,0.00102,0.00093,0.00106,0.00092
ResNet50V2,False,public,0.00142,0.00103,0.00110,0.00099,0.00103,0.00108,0.00089,0.00099,0.00094,0.00094
ResNet101,False,public,0.00205,0.00140,0.00125,0.00141,0.00115,0.00103,0.00102,0.00123,0.00102,0.00129
ResNet101V2,False,public,0.00130,0.00103,0.00105,0.00099,0.00090,0.00101,0.00091,0.00102,0.00092,0.00088
ResNet152,False,public,0.00192,0.00150,0.00145,0.00149,0.00119,0.00106,0.00140,0.00120,0.00111,0.00118
ResNet152V2,False,public,0.00115,0.00111,0.00100,0.00108,0.00096,0.00088,0.00096,0.00093,0.00089,0.00097
InceptionV3,False,public,0.00184,0.00144,0.00129,0.00101,0.00119,0.00109,0.00100,0.00119,0.00094,0.00097
InceptionResNetV2,False,public,0.00196,0.00136,0.00115,0.00099,0.00103,0.00094,0.00101,0.00098,0.00092,0.00101
VGG16,False,public,0.00215,0.00138,0.00147,0.00137,0.00148,0.00126,0.00110,0.00128,0.00094,0.00099
VGG19,False,public,0.00175,0.00172,0.00126,0.00112,0.00103,0.00135,0.00129,0.00109,0.00097,0.00115
Xception,False,public,0.00171,0.00147,0.00114,0.00109,0.00117,0.00106,0.00112,0.00102,0.00092,0.00090
ResNet50,True,public,0.00173,0.00127,0.00103,0.00112,0.00119,0.00111,0.00090,0.00110,0.00102,0.00100
ResNet50V2,True,public,0.00122,0.00097,0.0011,0.00099,0.00105,0.00108,0.00089,0.00101,0.00093,0.00096
ResNet101,True,public,0.00197,0.00148,0.00138,0.00138,0.00117,0.00110,0.00118,0.00109,0.00105,0.00133
ResNet101V2,True,public,0.00125,0.00105,0.00105,0.00100,0.00089,0.00100,0.00097,0.00097,0.00092,0.00088
ResNet152,True,public,0.00195,0.00158,0.00132,0.00146,0.00129,0.00119,0.00120,0.00127,0.00140,0.00097
ResNet152V2,True,public,0.00118,0.00114,0.00099,0.00108,0.00096,0.00087,0.00097,0.00092,0.00089,0.00097
InceptionV3,True,public,0.00175,0.00169,0.00114,0.00123,0.00125,0.00109,0.00105,0.00099,0.00108,0.00119
InceptionResNetV2,True,public,0.00205,0.00141,0.00109,0.00116,0.0011,0.00110,0.00112,0.00101,0.00098,0.00111
VGG16,True,public,0.00198,0.00143,0.00144,0.00137,0.00151,0.00125,0.00103,0.00134,0.00102,0.00101
VGG19,True,public,0.00157,0.00176,0.00119,0.00115,0.00106,0.00139,0.00126,0.00109,0.00097,0.00120
Xception,True,public,0.00234,0.00172,0.00153,0.00144,0.00139,0.00117,0.00138,0.00115,0.00134,0.00101
ResNet50,False,private,0.00168,0.00129,0.00128,0.00117,0.00116,0.00110,0.00110,0.00114,0.00109,0.00099
ResNet50V2,False,private,0.00150,0.00110,0.00119,0.00111,0.00100,0.00109,0.00110,0.00097,0.00099,0.00094
ResNet101,False,private,0.00203,0.00149,0.00139,0.00123,0.00126,0.00118,0.00116,0.00124,0.00112,0.00112
ResNet101V2,False,private,0.00142,0.00120,0.00102,0.00108,0.00103,0.00101,0.00103,0.00100,0.00095,0.00099
ResNet152,False,private,0.00218,0.00153,0.00145,0.00135,0.00126,0.00134,0.00119,0.00126,0.00111,0.00111
ResNet152V2,False,private,0.00160,0.00112,0.00108,0.00107,0.00105,0.00101,0.00101,0.00102,0.00096,0.00102
InceptionV3,False,private,0.00174,0.00143,0.00130,0.00114,0.00116,0.00111,0.00109,0.00111,0.00106,0.00102
InceptionResNetV2,False,private,0.00180,0.00132,0.00126,0.00110,0.00115,0.00111,0.00109,0.00105,0.00103,0.00099
VGG16,False,private,0.00208,0.00154,0.00134,0.00136,0.00126,0.00124,0.00116,0.00119,0.00119,0.00111
VGG19,False,private,0.00194,0.00150,0.00132,0.00128,0.00122,0.00122,0.00117,0.00122,0.00111,0.00106
Xception,False,private,0.00169,0.00129,0.00117,0.00119,0.00116,0.00110,0.00116,0.00110,0.00103,0.00100
ResNet50,True,private,0.00170,0.00133,0.00130,0.00118,0.00119,0.00107,0.00111,0.00112,0.00105,0.00108
ResNet50V2,True,private,0.00139,0.00110,0.00119,0.00110,0.00100,0.00109,0.00110,0.00097,0.00100,0.00094
ResNet101,True,private,0.00200,0.00148,0.00132,0.00134,0.00127,0.00117,0.00123,0.00123,0.00117,0.00122
ResNet101V2,True,private,0.00135,0.00120,0.00102,0.00109,0.00103,0.00100,0.00103,0.00099,0.00095,0.00099
ResNet152,True,private,0.00212,0.00153,0.00145,0.00106,0.00126,0.00131,0.00120,0.00127,0.00117,0.00109
ResNet152V2,True,private,0.00144,0.00114,0.00109,0.00112,0.00106,0.00100,0.00101,0.00101,0.00097,0.00102
InceptionV3,True,private,0.00182,0.00147,0.00133,0.00129,0.00120,0.00111,0.00115,0.00111,0.00111,0.00114
InceptionResNetV2,True,private,0.00185,0.00142,0.00127,0.00138,0.00120,0.00111,0.00109,0.00103,0.00108,0.00102
VGG16,True,private,0.00205,0.00153,0.00134,0.00125,0.00126,0.00127,0.00110,0.00133,0.00111,0.00117
VGG19,True,private,0.00191,0.00151,0.00132,0.00133,0.00127,0.00124,0.00118,0.00117,0.00112,0.00107
Xception,True,private,0.00225,0.00174,0.00157,0.00143,0.00132,0.00119,0.00126,0.00122,0.00119,0.00124
